Tf id,Markov,Euclidean,Manhattan,Jaccard,Space_NewLine,BraceSimilarity,CommentSimilarity,CodeStyleSimilarity,CommonLines,Veredict
0.9931,0.3614,0.024374655397781744,0.1026642078105086,0.95,0.7844827586206897,0.08695652173913043,0.3333333333333333,0.40159087123105114,3,1
0.9956,0.5606,0.01986654643724211,0.07104876416667005,0.9428571428571428,0.14381270903010035,0.1,1.0,0.41460423634336685,5,1
1.0,1.0,0.0,0.0,1.0,1.0,0.1,1.0,0.7000000000000001,36,1
1.0,1.0,0.0,0.0,1.0,1.0,0.038461538461538464,1.0,0.6794871794871794,57,1
0.9951,0.9303,0.02034667709928047,0.07326431869856555,0.9523809523809523,0.6339381003201707,0.09418282548476455,0.010526315789473684,0.24621574719813633,4,1
0.8692,0.3864,0.10882259338293838,0.24875555061121324,0.75,0.2503113325031133,0.0325,0.16149068322981366,0.14810067191097567,30,1
0.9987,0.4561,0.012527659494054467,0.048836994916199,0.8648648648648649,0.17366412213740456,0.05555555555555555,0.5,0.24307322589765337,5,1
0.4337,0.3281,0.31179876566183945,0.5194838034224174,0.8421052631578947,0.35370823145884267,0.011164274322169059,0.0136986301369863,0.12619037863933266,5,1
0.9916,0.2651,0.030399719304056928,0.15354781246356547,0.7111111111111111,0.3964646464646465,0.09090909090909091,0.1111111111111111,0.1994949494949495,1,1
0.9998,0.8527,0.004297100378624142,0.008102690179105098,1.0,0.33119658119658124,0.1171875,1.0,0.4827946937321938,11,1
0.9807,0.4156,0.04505069921707629,0.16827556360405468,0.9,0.2602150537634409,0.125,1.0,0.4617383512544803,3,1
0.9998,0.9855,0.004209642837291705,0.01264516098781889,1.0,0.8676470588235294,0.14285714285714285,1.0,0.6701680672268907,15,1
1.0,1.0,0.0,0.0,1.0,0.996,0.06896551724137931,1.0,0.6883218390804599,60,1
0.9992,0.6317,0.008592059569945904,0.037602770463502175,0.9565217391304348,0.9356060606060606,0.09090909090909091,1.0,0.6755050505050505,23,1
0.9973,0.593,0.019604192040872027,0.07090097086385606,0.9666666666666667,0.27301587301587305,0.16666666666666666,1.0,0.47989417989418,6,1
1.0,1.0,0.0,0.0,1.0,1.0,0.09090909090909091,1.0,0.6969696969696969,35,1
0.9974,0.6065,0.015733394858981287,0.06262506888130236,0.8285714285714286,0.19851116625310172,0.1111111111111111,0.0,0.10320742578807095,7,1
0.9959,0.53,0.020052992139003422,0.09005169266192846,0.8823529411764706,0.18518518518518523,0.125,1.0,0.4367283950617284,2,1
0.9963,0.5455,0.017654948808535784,0.07369465222575697,0.9166666666666666,0.5167464114832536,0.08333333333333333,1.0,0.5333599149388623,2,1
1.0,1.0,0.0,0.0,1.0,1.0,0.125,1.0,0.7083333333333334,41,1
0.9973,1.0,0.014198931349127461,0.020080321285140562,0.9555555555555556,0.9971910112359551,0.06060606060606061,1.0,0.6859323572806719,81,1
1.0,1.0,0.0,0.0,1.0,1.0,0.07407407407407407,1.0,0.691358024691358,39,1
1.0,1.0,0.0,0.0,1.0,0.9986541049798116,0.08333333333333333,1.0,0.6939958127710483,51,1
0.9963,0.2964,0.01764910526625458,0.08467949591397977,0.813953488372093,0.6752577319587629,0.08421052631578947,0.0,0.25315608609151746,5,1
0.9967,0.3614,0.017155977179088046,0.08412144192934742,0.7659574468085106,0.6755852842809364,0.09523809523809523,0.1111111111111111,0.2939781635433809,4,1
0.9949,0.4639,0.02266087283567465,0.07529160976851719,0.9722222222222222,0.34615384615384615,0.2,1.0,0.5153846153846153,4,1
1.0,1.0,0.0,0.0,1.0,0.9971878515185602,0.04,1.0,0.6790626171728533,72,1
0.9931,0.213,0.023554591587286407,0.09558611868277755,0.7906976744186046,0.9065868263473054,0.07037037037037037,1.0,0.6589857322392253,5,1
